unit_id,model,question_id,template,gold_type,question,gold_item,relation_asked,gold_edge,full_gold_set,model_answer,human_asserted,human_required_or_alternative,human_confidence,human_quote,human_notes
claude-haiku-4.5|q0060|0,claude-haiku-4.5,q0060,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Scalable Oversight? Also name up to three broader ancestor concepts.",AI Alignment,subClassOf (immediate parent concept),Scalable Oversight --subClassOf--> AI Alignment,AI Alignment,"# Scalable Oversight - Concept Hierarchy

Based on the ontology context provided:

## Immediate Parent Concept
**AI Alignment**

## Broader Ancestor Concepts
1. **AI Safety**
2. **AI Governance and Ethics**
3. **Artificial Intelligence**

These form the hierarchical chain: Scalable Oversight → AI Alignment → AI Safety/AI Governance and Ethics → Artificial Intelligence",,,,,
claude-haiku-4.5|q0382|1,claude-haiku-4.5,q0382,T-REL,all,"According to the DreamLab knowledge graph, what does Inertia Tensor use?",Velocity,uses (uses),Inertia Tensor --uses--> Velocity,Torque | Velocity,"According to the ontology context provided from the knowledge graph, the **Inertia Tensor uses: Torque and Velocity**.

These are the key quantities that the inertia tensor relates together in rigid-body dynamics—it characterizes how a body's mass distribution affects the relationship between angular velocity and angular momentum, with torque being the rotational force involved in this dynamic relationship.",,,,,
gemini-3.5-flash-lite|q0144|0,gemini-3.5-flash-lite,q0144,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Wikidata? Also name up to three broader ancestor concepts.",Knowledge Graph,subClassOf (immediate parent concept),Wikidata --subClassOf--> Knowledge Graph,Knowledge Graph,"Based on the provided ontology context, **Wikidata** has the following hierarchical relationships:

* **Immediate parent concept (is-a):** Knowledge Graph
* **Broader ancestor concepts:** Content and Assets, Spatial Computing",,,,,
llama-3.3-70b|q0162|0,llama-3.3-70b,q0162,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of GitHub? Also name up to three broader ancestor concepts.",Version Control,subClassOf (immediate parent concept),GitHub --subClassOf--> Version Control,Version Control,"According to the provided ontology context, the immediate parent concept of GitHub is ""Version Control"".

As for the broader ancestor concepts, up to three are:
1. Software Engineering
2. Systems Engineering
3. Infrastructure",,,,,
glm-4.6|q0206|0,glm-4.6,q0206,T-REL,all,"According to the DreamLab knowledge graph, what does Real Time Collaboration depend on?",Low Latency,dependsOn (depends on),Real Time Collaboration --dependsOn--> Low Latency,Low Latency | Real-Time Communication,"According to the provided ontology context, Real Time Collaboration depends on **Low Latency** and **Real-Time Communication**.",,,,,
claude-haiku-4.5|q0424|2,claude-haiku-4.5,q0424,T-REL,all,"According to the DreamLab knowledge graph, what does ISO 27001 enable?",Privacy By Design,enables (enables),ISO 27001 --enables--> Privacy By Design,Data Security | Compliance Audit Trail | Privacy By Design | Third-Party Risk Management,"According to the ontology context provided from the knowledge graph, ISO 27001 **enables**:

1. **Data Security**
2. **Compliance Audit Trail**
3. **Privacy By Design**

These capabilities reflect ISO 27001's role as an Information Security Management System (ISMS) standard that helps organizations establish systematic approaches to protecting information assets, maintaining compliance records, and embedding security considerations into system design from the outset.",,,,,
glm-4.6|q0122|3,glm-4.6,q0122,T-REL,all,"According to the DreamLab knowledge graph, what does Event Streaming enable?",Stream Processing,enables (enables),Event Streaming --enables--> Stream Processing,Real-Time Analytics | Event Driven Architecture | Change Data Capture | Stream Processing,"According to the DreamLab knowledge graph, Event Streaming enables:

*   Real-Time Analytics
*   Event Driven Architecture
*   Change Data Capture",,,,,
mistral-small-24b|q0442|2,mistral-small-24b,q0442,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of ETSI_Domain_Virtual_Society?",Digital Identity,hasPart (has part),ETSI_Domain_Virtual_Society --hasPart--> Digital Identity,Virtual World | Avatar | Digital Identity,"According to the provided ontology context, the parts of ETSI_Domain_Virtual_Society are:

- Virtual World
- Avatar
- Digital Identity

These components are integral to the technical foundations and interoperability requirements of virtual society infrastructures, including metaverse ecosystems and Extended Reality (XR) environments.",,,,,
gemini-3.5-flash-lite|q0369|3,gemini-3.5-flash-lite,q0369,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Virtual Economy?",Play-to-Earn (P2E),hasPart (has part),Virtual Economy --hasPart--> Play-to-Earn (P2E),Virtual Currency | Non-Fungible Token | Digital Marketplace | Play-to-Earn (P2E),"According to the provided ontology context, the parts of a Virtual Economy (`hasPart`) are:

* **Virtual Currency**
* **Non-Fungible Token**
* **Digital Marketplace**",,,,,
glm-4.6|q0182|0,glm-4.6,q0182,T-COMMON,any,What broader concept do Teleoperation Systems and Video Async both fall under in the DreamLab knowledge graph?,Distributed Collaboration,common ancestor (shared broader concept),Teleoperation Systems --ancestorOf^-1--> Distributed Collaboration <--ancestorOf^-1-- Video Async,Distributed Collaboration,"Based on the provided ontology context, both Teleoperation Systems and Video Async fall under the broader concept of **Distributed Collaboration**.

Here's the evidence from the context:

*   **Teleoperation Systems** is categorized as `distributed-collaboration` and lists `Distributed Collaboration` as an ancestor.
*   **Video Async** is also categorized as `distributed-collaboration` and lists `Distributed Collaboration` as an ancestor.

The ontology defines Distributed Collaboration as ""the set of technologies, protocols, and organisational practices that enable geographically or temporally dispersed individuals and teams to work together on shared tasks..."" which applies to both remote robot operation and asynchronous video communication.",,,,,
qwen-2.5-72b|q0246|2,qwen-2.5-72b,q0246,T-REL,all,"According to the DreamLab knowledge graph, what does Trade Finance Automation use?",Blockchain,uses (uses),Trade Finance Automation --uses--> Blockchain,Smart Contract | Enterprise Smart Contracts | Blockchain | Supply Chain Traceability,"According to the DreamLab knowledge graph, Trade Finance Automation uses the following technologies and concepts:

- **Smart Contract**
- **Enterprise Smart Contracts**
- **Blockchain**

These technologies are applied to streamline and accelerate the complex financial instruments and workflows that facilitate international commerce.",,,,,
claude-haiku-4.5|q0099|0,claude-haiku-4.5,q0099,T-REL,all,"According to the DreamLab knowledge graph, what does Transaction Finality depend on?",Proof Of Work,dependsOn (depends on),Transaction Finality --dependsOn--> Proof Of Work,Proof Of Work | Proof of Stake | Network Partition Tolerance,"According to the ontology context provided from the knowledge graph, **Transaction Finality depends on:**

1. **Consensus Mechanism** - The underlying protocol that achieves agreement across the network
2. **Block-confirmation** - The process of confirming blocks in the blockchain
3. **Byzantine Fault Tolerance** - The ability of the system to function correctly even when some nodes are faulty or malicious

These dependencies are critical because transaction finality—the point at which a blockchain transaction becomes irreversible—requires a robust consensus mechanism, proper block confirmation procedures, and Byzantine fault tolerance to ensure that finalized transactions cannot be altered or removed by any future state of the network.",,,,,
deepseek-chat|q0024|4,deepseek-chat,q0024,T-REL,all,"According to the DreamLab knowledge graph, what does Mapping use?",Point Cloud,uses (uses),Mapping --uses--> Point Cloud,SLAM | Localisation | Lidar | Depth Camera | Point Cloud,"Based on the DreamLab knowledge graph, **Mapping** uses the following:

- **Sensor Fusion**
- **Feature Extraction**

Additionally, the graph lists **SLAM**, **Localisation**, and **Lidar** as related technologies it ""uses"" in its broader relations.",,,,,
claude-haiku-4.5|q0471|0,claude-haiku-4.5,q0471,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Virtual Wedding? Also name up to three broader ancestor concepts.",Platform and Environment,subClassOf (immediate parent concept),Virtual Wedding --subClassOf--> Platform and Environment,Platform and Environment,"# Virtual Wedding - Concept Hierarchy

Based on the ontology context provided:

## Immediate Parent Concept
**Platform and Environment**

## Broader Ancestor Concepts
1. **Spatial Computing** (the primary ancestor)

Note: The ontology context indicates that Virtual Wedding ""is-a: Platform and Environment; ancestors: Spatial Computing,"" which means there are only two levels in the documented hierarchy - the immediate parent and one ancestor concept. The structure doesn't show additional intermediate ancestors beyond these two.",,,,,
claude-haiku-4.5|q0149|3,claude-haiku-4.5,q0149,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Collaboration Platform?",Workflow Automation,hasPart (has part),Collaboration Platform --hasPart--> Workflow Automation,Real Time Messaging | Video Conferencing | tc 0002 collaborative document editing | Workflow Automation,"According to the ontology context provided, the **Collaboration Platform** has the following parts (hasPart):

1. **Real Time Messaging** - The exchange of messages between participants with sub-second latency, enabling instantaneous and conversational communication.

2. **Video Conferencing** - Real-time audio-visual communication technology enabling multiple geographically distributed participants to see and hear each other simultaneously through internet-connected devices.

3. **Collaborative Document Editing** (referenced as ""tc 0002 collaborative document editing"")

These three components work together to create an integrated software environment that unifies communication channels, shared workspaces, workflow automation, and content management tooling for coordinated work among distributed teams.",,,,,
deepseek-chat|q0104|2,deepseek-chat,q0104,T-REL,all,"According to the DreamLab knowledge graph, what does Web3 Infrastructure enable?",Smart Contract,enables (enables),Web3 Infrastructure --enables--> Smart Contract,Decentralised Identity | Decentralised Application | Smart Contract | Tokenization,"Based on the DreamLab knowledge graph, **Web3 Infrastructure** enables:
- **Decentralised Identity**
- **Decentralised Application**
- **Smart Contract**",,,,,
gemini-2.5-flash-lite|q0417|0,gemini-2.5-flash-lite,q0417,T-REL,all,"According to the DreamLab knowledge graph, what does Digital Onboarding depend on?",Identity Verification,dependsOn (depends on),Digital Onboarding --dependsOn--> Identity Verification,Identity Verification | Compliance,Digital Onboarding depends on Identity Verification and Compliance.,,,,,
glm-4.6|q0206|1,glm-4.6,q0206,T-REL,all,"According to the DreamLab knowledge graph, what does Real Time Collaboration depend on?",Real-Time Communication,dependsOn (depends on),Real Time Collaboration --dependsOn--> Real-Time Communication,Low Latency | Real-Time Communication,"According to the provided ontology context, Real Time Collaboration depends on **Low Latency** and **Real-Time Communication**.",,,,,
deepseek-chat|q0428|1,deepseek-chat,q0428,T-REL,all,"According to the DreamLab knowledge graph, what does Privacy-Preserving Computation depend on?",Public Key Infrastructure,dependsOn (depends on),Privacy-Preserving Computation --dependsOn--> Public Key Infrastructure,Zero-Knowledge Proof | Public Key Infrastructure,"According to the DreamLab knowledge graph, Privacy-Preserving Computation **dependsOn**:
- **Zero-Knowledge Proof**
- **Public Key Infrastructure**",,,,,
gemini-3.5-flash-lite|q0105|1,gemini-3.5-flash-lite,q0105,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Web3 Infrastructure?",Decentralised Storage,hasPart (has part),Web3 Infrastructure --hasPart--> Decentralised Storage,Blockchain Node | Decentralised Storage | Cross-Chain Bridge | Blockchain Oracle,"Based on the provided knowledge graph context, the parts of **Web3 Infrastructure** are:

* **Blockchain Node**
* **Decentralised Storage**
* **Cross-Chain Bridge**",,,,,
mistral-small-24b|q0041|3,mistral-small-24b,q0041,T-REL,all,"According to the DreamLab knowledge graph, what does Edge AI Accelerators enable?",Edge AI System,enables (enables),Edge AI Accelerators --enables--> Edge AI System,Edge Computing | Federated Learning | Autonomous Vehicle | Edge AI System,"According to the DreamLab knowledge graph, Edge AI Accelerators enable the following:

- Edge Computing
- Federated Learning
- Autonomous Vehicle",,,,,
gemini-3.7-flash-t0|q0480|1,gemini-3.7-flash,q0480,T-REL,all,"According to the DreamLab knowledge graph, what does Accessibility Standard enable?",Universal Design,enables (enables),Accessibility Standard --enables--> Universal Design,Equitable Access | Universal Design | Inclusive Xr Experience | Digital Inclusion,"According to the DreamLab knowledge graph, **Accessibility Standard** enables:

* **Equitable Access**
* **Universal Design**
* **Inclusive Xr Experience**",,,,,
gemini-2.5-flash-lite|q0281|0,gemini-2.5-flash-lite,q0281,T-COMMON,any,What broader concept do Data Residency and eIDAS both fall under in the DreamLab knowledge graph?,Infrastructure,common ancestor (shared broader concept),Data Residency --ancestorOf^-1--> Infrastructure <--ancestorOf^-1-- eIDAS,Infrastructure,Both Data Residency and eIDAS fall under the broader concept of **governance**.,,,,,
gemini-3.5-flash-lite|q0134|0,gemini-3.5-flash-lite,q0134,T-REL,all,"According to the DreamLab knowledge graph, what does Open Data use?",Linked Data,uses (uses),Open Data --uses--> Linked Data,Linked Data | SPARQL | RDF,"According to the knowledge graph provided, **Open Data** uses:

* **Linked Data**
* **SPARQL**
* **RDF**",,,,,
claude-haiku-4.5|q0254|0,claude-haiku-4.5,q0254,T-COMMON,any,What broader concept do Banking and Trade Finance Automation both fall under in the DreamLab knowledge graph?,Economic Systems,common ancestor (shared broader concept),Banking --ancestorOf^-1--> Economic Systems <--ancestorOf^-1-- Trade Finance Automation,Economic Systems | Platform and Environment | Spatial Computing,"# Banking and Trade Finance Automation

Based on the ontology context provided, both **Banking** and **Trade Finance Automation** fall under the broader concept of:

## **Financial Services**

According to the knowledge graph:

- **Trade Finance Automation** is-a: Trade Finance → is-a: **Financial Services**
- **Trade Finance** is-a: **Financial Services**

So while Trade Finance Automation is more specifically a type of Trade Finance (which itself is a type of Financial Services), both concepts ultimately trace back to **Financial Services** as their common parent category in the DreamLab knowledge graph hierarchy.

This makes sense conceptually, as both Banking and Trade Finance Automation are specialized domains within the broader financial services ecosystem, dealing with different aspects of managing money, credit, and financial instruments in commerce.",,,,,
gpt-4.1-mini|q0467|3,gpt-4.1-mini,q0467,T-REL,all,"According to the DreamLab knowledge graph, what does Virtual Reality use?",Eye Tracking,uses (uses),Virtual Reality --uses--> Eye Tracking,Game Engine | 3D Model | OpenXR | Eye Tracking,"According to the DreamLab knowledge graph, Virtual Reality uses Game Engine, 3D Model, and OpenXR.",,,,,
mistral-small-24b|q0348|1,mistral-small-24b,q0348,T-COMMON,any,What broader concept do Calculus and Distributed Inference both fall under in the DreamLab knowledge graph?,AI Technique,common ancestor (shared broader concept),Calculus --ancestorOf^-1--> AI Technique <--ancestorOf^-1-- Distributed Inference,AI Research Area | AI Technique | Artificial Intelligence,"In the provided ontology context, both Calculus and Distributed Inference fall under the broader concept of **Artificial Intelligence (AI)**.

- **Calculus** is related to **Machine Learning**, which is a subfield of AI.
- **Distributed Inference** is directly related to **Artificial Intelligence** and its subfields such as **Model Serving** and **AI Infrastructure**.

Therefore, the broader concept that encompasses both is **Artificial Intelligence**.",,,,,
qwen-2.5-72b|q0001|4,qwen-2.5-72b,q0001,T-REL,all,"According to the DreamLab knowledge graph, what does Affective Computing enable?",Human Robot Interaction,enables (enables),Affective Computing --enables--> Human Robot Interaction,Emotion Aware Interaction | Emotional Analytics Engine | Cognitive Feedback Interface | Mental Health Monitoring | Human Robot Interaction,"According to the DreamLab knowledge graph, Affective Computing enables the following:

- **Emotion Aware Interaction**: Systems that can adapt their behavior based on the detected emotional state of the user.
- **Emotional Analytics Engine**: Tools that analyze and provide insights into emotional data.
- **Cognitive Feedback Interface**: Interfaces that provide feedback to users based on their cognitive and emotional states.

These capabilities are made possible by the integration of emotion recognition, multimodal fusion, and machine learning techniques, which allow affective computing systems to recognize, interpret, and respond to human emotions effectively.",,,,,
glm-4.6|q0200|3,glm-4.6,q0200,T-REL,all,"According to the DreamLab knowledge graph, what does Load Balancer enable?",Horizontal Scalability,enables (enables),Load Balancer --enables--> Horizontal Scalability,Scalability | High Availability | Fault Tolerance | Horizontal Scalability,"

According to the provided knowledge graph, a Load Balancer enables:

*   **Scalability**
*   **High Availability**
*   **Fault Tolerance**",,,,,
gemini-3.7-flash-t0|q0005|2,gemini-3.7-flash,q0005,T-REL,all,"According to the DreamLab knowledge graph, what does Artificial Intelligence Core require?",GPU Compute,requires (requires),Artificial Intelligence Core --requires--> GPU Compute,Probability Theory | Optimisation | GPU Compute,"According to the DreamLab knowledge graph, **Artificial Intelligence Core** requires:

* **Probability Theory**
* **Optimisation**
* **statistical-learning**",,,,,
llama-3.3-70b|q0504|0,llama-3.3-70b,q0504,T-REL,all,"According to the DreamLab knowledge graph, what does Vendor Neutrality enable?",Interoperability,enables (enables),Vendor Neutrality --enables--> Interoperability,Interoperability | Open Source,"According to the provided ontology context, Vendor Neutrality enables Interoperability and Open Source.",,,,,
gemini-2.5-flash-lite|q0395|1,gemini-2.5-flash-lite,q0395,T-REL,all,"According to the DreamLab knowledge graph, what does Robot Dynamics require?",Rigid Body Dynamics,requires (requires),Robot Dynamics --requires--> Rigid Body Dynamics,Kinematics | Rigid Body Dynamics | Inertia Tensor | Differential Equations,"Robot Dynamics requires:
* Kinematics
* Rigid Body Dynamics
* Inertia Tensor",,,,,
claude-haiku-4.5|q0499|1,claude-haiku-4.5,q0499,T-REL,all,"According to the DreamLab knowledge graph, what does Schema.org use?",RDF,uses (uses),Schema.org --uses--> RDF,JSON-LD | RDF | Controlled Vocabulary,"According to the ontology context provided, **Schema.org uses**:

1. **JSON-LD** - A JSON-based format for encoding linked data
2. **RDF** - Resource Description Framework for representing structured data
3. **Controlled Vocabulary** - Standardized sets of terms for consistent data description

These technologies enable Schema.org to define and markup structured data on web pages in a machine-readable format that search engines and other consumers can understand.",,,,,
deepseek-chat|q0288|0,deepseek-chat,q0288,T-REL,all,"According to the DreamLab knowledge graph, what does Content Identifier enable?",Deduplication,enables (enables),Content Identifier --enables--> Deduplication,Deduplication | Tamper Detection | Verifiable Data Registry,"Based on the DreamLab knowledge graph, a **Content Identifier (CID)** enables the following:

- **Deduplication**
- **Tamper Detection**
- **Verifiable Data Registry**",,,,,
claude-haiku-4.5|q0058|2,claude-haiku-4.5,q0058,T-REL,all,"According to the DreamLab knowledge graph, what does Scalable Oversight use?",Red Teaming,uses (uses),Scalable Oversight --uses--> Red Teaming,Human Feedback | Reinforcement Learning from Human Feedback | Red Teaming,"According to the ontology context provided, **Scalable Oversight uses:**

1. **Human Feedback**
2. **Reinforcement Learning from Human Feedback**
3. **Red Teaming**

These are the techniques and approaches listed in the ""uses"" relations for Scalable Oversight in the knowledge graph.",,,,,
llama-3.3-70b|q0216|1,llama-3.3-70b,q0216,T-COMMON,any,What broader concept do Distributed Hash Table and State Machine Replication both fall under in the DreamLab knowledge graph?,Infrastructure,common ancestor (shared broader concept),Distributed Hash Table --ancestorOf^-1--> Infrastructure <--ancestorOf^-1-- State Machine Replication,Computing and Cloud | Infrastructure,"According to the provided ontology context, both Distributed Hash Table (DHT) and State Machine Replication (SMR) fall under the broader concept of ""Distributed System"" or more specifically, ""Distributed Computing"" and ""Computing and Cloud"" (as ancestors). 

However, the most direct common ancestor is ""Distributed System"" for DHT and ""Distributed Computing"" for SMR, which can both be generalized to ""Computing and Cloud"".",,,,,
gemini-2.5-flash-lite|q0025|0,gemini-2.5-flash-lite,q0025,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Mapping?",Semantic Mapping,hasPart (has part),Mapping --hasPart--> Semantic Mapping,Semantic Mapping | Topological Map,"According to the DreamLab knowledge graph, the parts of Mapping are:

*   Semantic Mapping
*   metric-map
*   Topological Map",,,,,
gemini-3.7-flash-t0|q0246|3,gemini-3.7-flash,q0246,T-REL,all,"According to the DreamLab knowledge graph, what does Trade Finance Automation use?",Supply Chain Traceability,uses (uses),Trade Finance Automation --uses--> Supply Chain Traceability,Smart Contract | Enterprise Smart Contracts | Blockchain | Supply Chain Traceability,"According to the knowledge graph, **Trade Finance Automation** uses:

* **Smart Contract**
* **Enterprise Smart Contracts**
* **Blockchain**",,,,,
gemini-2.5-flash-lite|q0282|1,gemini-2.5-flash-lite,q0282,T-COMMON,any,What broader concept do NIST AI RMF and Supply Chain Risk Management both fall under in the DreamLab knowledge graph?,Artificial Intelligence,common ancestor (shared broader concept),NIST AI RMF --ancestorOf^-1--> Artificial Intelligence <--ancestorOf^-1-- Supply Chain Risk Management,AI Governance and Ethics | Artificial Intelligence,Both NIST AI RMF and Supply Chain Risk Management fall under the broader concept of **Risk Management Framework** in the DreamLab knowledge graph.,,,,,
glm-4.6|q0066|4,glm-4.6,q0066,T-REL,all,"According to the DreamLab knowledge graph, what does Visual Odometry enable?",Robot Localisation,enables (enables),Visual Odometry --enables--> Robot Localisation,Autonomous Navigation | Pose Estimation | 3D Reconstruction | Augmented Reality | Robot Localisation,"
According to the provided ontology context, Visual Odometry enables:

*   Autonomous Navigation
*   Pose Estimation
*   3D Reconstruction",,,,,
gemini-3.7-flash-t0|q0104|0,gemini-3.7-flash,q0104,T-REL,all,"According to the DreamLab knowledge graph, what does Web3 Infrastructure enable?",Decentralised Identity,enables (enables),Web3 Infrastructure --enables--> Decentralised Identity,Decentralised Identity | Decentralised Application | Smart Contract | Tokenization,"According to the DreamLab knowledge graph, **Web3 Infrastructure** enables:

* **Decentralised Identity**
* **Decentralised Application**
* **Smart Contract**",,,,,
claude-haiku-4.5|q0349|2,claude-haiku-4.5,q0349,T-COMMON,any,What broader concept do Calculus and Score Matching both fall under in the DreamLab knowledge graph?,Artificial Intelligence Core,common ancestor (shared broader concept),Calculus --ancestorOf^-1--> Artificial Intelligence Core <--ancestorOf^-1-- Score Matching,AI Research Area | Artificial Intelligence | Artificial Intelligence Core,"# Common Broader Concept

Based on the ontology context provided, both **Calculus** and **Score Matching** fall under the broader concept of **Machine Learning Discipline** (and more broadly, **AI Technique** and **Artificial Intelligence**).

## Specific Relationships:

- **Calculus** is classified as: `is-a: Machine Learning, Mathematical Science`
- **Score Matching** is classified as: `is-a: Machine Learning Discipline, AI Technique`

Both trace back through the hierarchy to:
- **AI Research Area**
- **Artificial Intelligence**
- **Artificial Intelligence Core**

## Why This Connection Matters:

While Calculus is a foundational mathematical science and Score Matching is a specific machine learning technique, they're connected through their role in **machine learning**. In fact, Calculus directly enables Score Matching's functionality—calculus provides the mathematical machinery (derivatives, gradients) that Score Matching uses to match the gradient of log-density in probability models.",,,,,
gemini-3.7-flash-t0|q0243|3,gemini-3.7-flash,q0243,T-REL,all,"According to the DreamLab knowledge graph, what does Sustainable Finance use?",IFRS S1,uses (uses),Sustainable Finance --uses--> IFRS S1,ESG | EU Taxonomy | TCFD | IFRS S1,"According to the knowledge graph, **Sustainable Finance** uses:

* **ESG** (Environmental, Social, and Governance)
* **EU Taxonomy**
* **TCFD** (Task Force on Climate-related Financial Disclosures)",,,,,
gemini-3.7-flash-t0|q0154|0,gemini-3.7-flash,q0154,T-REL,all,"According to the DreamLab knowledge graph, what does Conflict Free Replicated Data Type enable?",Operational Transformation,enables (enables),Conflict Free Replicated Data Type --enables--> Operational Transformation,Operational Transformation | State Synchronisation | Conflict Resolution,"According to the DreamLab knowledge graph, a **Conflict Free Replicated Data Type** enables:

* **Operational Transformation**
* **State Synchronisation**
* **Conflict Resolution**",,,,,
claude-haiku-4.5|q0055|3,claude-haiku-4.5,q0055,T-REL,all,"According to the DreamLab knowledge graph, what does Retrieval-Augmented Generation require?",Nearest Neighbor Search,requires (requires),Retrieval-Augmented Generation --requires--> Nearest Neighbor Search,Vector Database | Embedding Model | Chunking | Nearest Neighbor Search,"According to the DreamLab knowledge graph ontology context provided, **Retrieval-Augmented Generation (RAG) requires:**

1. **Vector Database** - A specialized data storage and retrieval system optimized for indexing and querying high-dimensional dense vectors (embeddings) using approximate nearest-neighbor (ANN) search algorithms

2. **Embedding Model** - A neural network trained to project discrete or high-dimensional inputs (such as tokens, sentences, images, audio segments, or knowledge-graph nodes) into dense, fixed-dimensional vectors

3. **Chunking** - The process of segmenting source documents into smaller, semantically coherent passages before they are embedded and indexed for retrieval-augmented generation

These three components are essential infrastructure for RAG systems to function, as they enable the retrieval of relevant external knowledge that augments large language model generation at inference time.",,,,,
mistral-small-24b|q0073|1,mistral-small-24b,q0073,T-REL,all,"According to the DreamLab knowledge graph, what does Across Protocol enable?",Cross-Chain Interoperability,enables (enables),Across Protocol --enables--> Cross-Chain Interoperability,Cross Chain Asset Transfer | Cross-Chain Interoperability,"According to the provided ontology context, Across Protocol enables the following:

1. **Cross Chain Asset Transfer**: This is the process of moving digital assets, such as cryptocurrencies, fungible tokens, or non-fungible tokens, from one blockchain network to a distinct, independent blockchain network.

2. **Cross-Chain Interoperability**: This refers to the technical capacity for distinct blockchain networks to communicate, transfer assets, and share arbitrary state without relying on a centralized intermediary.",,,,,
glm-4.6|q0399|1,glm-4.6,q0399,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Search and Rescue Robotics? Also name up to three broader ancestor concepts.",Robot Type,subClassOf (immediate parent concept),Search and Rescue Robotics --subClassOf--> Robot Type,Robotics | Robot Type,"

Based on the provided ontology context:

*   The immediate parent concept of Search and Rescue Robotics is **Robotics**.
*   The provided context does not list any broader ancestor concepts for Search and Rescue Robotics beyond its immediate parent.",,,,,
gpt-4.1-mini|q0440|1,gpt-4.1-mini,q0440,T-COMMON,any,What broader concept do Revocation Registry and WebAuthn both fall under in the DreamLab knowledge graph?,Identity and Access Management,common ancestor (shared broader concept),Revocation Registry --ancestorOf^-1--> Identity and Access Management <--ancestorOf^-1-- WebAuthn,Authentication | Identity and Access Management | Security and Identity,"In the DreamLab knowledge graph, both Revocation Registry and WebAuthn fall under the broader concept of **Authentication**. This is evident because:

- Revocation Registry is categorized under Credential Verification, which is a descendant of Authentication.
- WebAuthn is directly categorized as an Authentication Mechanism, which is also a descendant of Authentication.

Thus, **Authentication** is the common broader concept encompassing both Revocation Registry and WebAuthn.",,,,,
glm-4.6|q0309|1,glm-4.6,q0309,T-REL,all,"According to the DreamLab knowledge graph, what does Resilience enable?",High Availability,enables (enables),Resilience --enables--> High Availability,Business Continuity | High Availability | Graceful Degradation,"According to the provided ontology context, **Resilience** enables the following:

*   **Business Continuity**
*   **High Availability**
*   **Graceful Degradation**",,,,,
qwen-2.5-72b|q0510|0,qwen-2.5-72b,q0510,T-COMMON,any,What broader concept do Accessibility Standard and Interoperability Standards both fall under in the DreamLab knowledge graph?,Spatial Computing,common ancestor (shared broader concept),Accessibility Standard --ancestorOf^-1--> Spatial Computing <--ancestorOf^-1-- Interoperability Standards,Spatial Computing,"In the DreamLab knowledge graph, both Accessibility Standards and Interoperability Standards fall under the broader concept of **Standards and Interoperability**. This category encompasses various standards and specifications that support the creation, operation, and interoperability of metaverse technologies.",,,,,
gemini-3.5-flash-lite|q0209|3,gemini-3.5-flash-lite,q0209,T-REL,all,"According to the DreamLab knowledge graph, what does State Machine Replication enable?",Distributed Ledger,enables (enables),State Machine Replication --enables--> Distributed Ledger,High Availability | Strong Consistency | Linearizability | Distributed Ledger,"According to the ontology context, State Machine Replication enables:

* High Availability
* Strong Consistency
* Linearizability",,,,,
llama-3.3-70b|q0041|2,llama-3.3-70b,q0041,T-REL,all,"According to the DreamLab knowledge graph, what does Edge AI Accelerators enable?",Autonomous Vehicle,enables (enables),Edge AI Accelerators --enables--> Autonomous Vehicle,Edge Computing | Federated Learning | Autonomous Vehicle | Edge AI System,"According to the provided ontology context, Edge AI Accelerators enable:

1. Edge Computing
2. Federated Learning
3. Autonomous Vehicle

Additionally, it also supports Autonomous Robot and Digital Twin.",,,,,
qwen-2.5-72b|q0427|3,qwen-2.5-72b,q0427,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Privacy-Preserving Computation?",Trusted Execution Environment,hasPart (has part),Privacy-Preserving Computation --hasPart--> Trusted Execution Environment,Homomorphic Encryption | Secure Multi-Party Computation | Differential Privacy | Trusted Execution Environment,"According to the DreamLab knowledge graph, Privacy-Preserving Computation has the following parts:

- **Homomorphic Encryption**: A cryptographic paradigm that allows arithmetic and logical operations to be performed directly on ciphertext, yielding an encrypted result that matches the result of the same operations performed on the plaintext.
- **Secure Multi-Party Computation (MPC)**: A cryptographic protocol that enables multiple parties to jointly compute functions over their combined private inputs without revealing individual inputs to other participants.
- **Differential Privacy**: A system for publicly sharing information about a dataset by describing the patterns of groups within the dataset while withholding information about individuals in the dataset.

These components are key techniques within Privacy-Preserving Computation that enable data processing and analysis while maintaining the privacy of the underlying data.",,,,,
